Cars,Price,Mileage
2017 Acura ILX 4dr Sdn Technology Pkg,"$18,000","Mileage 106,000 km"
2018 Mazda Mazda3 50th Anniversary Edition Auto,"$18,000","Mileage 40,000 km"
2017 Toyota Corolla 4dr Sdn CVT SE,"$18,000","Mileage 45,797 km"
2018 Mazda Mazda3 50th Anniversary Edition Auto,"$18,000","Mileage 44,000 km"
2015 Acura TLX 4dr Sdn FWD,"$18,000","Mileage 200,340 km"
2015 Chrysler 200 4dr Sdn C AWD,"$18,000","Mileage 93,000 km"
2018 Mazda Mazda3 GS Auto,"$17,900","Mileage 36,000 km"
2015 Audi A3 4dr Sdn FrontTrak TDI Progressiv,"$17,800","Mileage 128,300 km"
2017 Nissan Maxima 4dr Sdn SL,"$17,700","Mileage 58,560 km"
2017 Volkswagen Jetta Sedan 4dr 1.4 TSI Man Wolfsburg Edition,"$17,650","Mileage 63,000 km"
2017 Volkswagen Jetta Sedan 4dr 1.4 TSI Auto Wolfsburg Edition,"$17,550","Mileage 33,250 km"
2014 Audi A4 4dr Sdn Auto Progressiv quattro,"$17,500","Mileage 130,000 km"
2013 Lexus ES 350 4dr Sdn,"$17,500","Mileage 130,319 km"
2015 Volvo S80 4dr Sdn T6 Platinum AWD,"$17,500","Mileage 173,500 km"
2014 BMW 5 Series 4dr Sdn 528i xDrive AWD,"$17,500",Mileage 140 km
2013 Audi A6 4dr Sdn quattro 3.0T Premium,"$17,500","Mileage 138,200 km"
2016 Honda Accord Sedan 4dr I4 CVT Touring,"$17,500","Mileage 128,436 km"
2017 Toyota Camry 4dr Sdn I4 Auto SE,"$17,500","Mileage 56,000 km"
2013 Audi A6 4dr Sdn quattro 3.0T Premium,"$17,500","Mileage 136,000 km"
2013 Audi A6 4dr Sdn quattro 3.0T Premium,"$17,500","Mileage 138,000 km"
2013 Lexus ES 300h 4dr Sdn,"$17,500","Mileage 146,000 km"
2017 Acura ILX 4dr Sdn Technology Pkg,"$17,500","Mileage 74,671 km"
2017 Ford Fusion 4dr Sdn SE AWD,"$17,500","Mileage 64,804 km"
2014 Audi A4 4dr Sdn Auto Komfort quattro,"$17,500","Mileage 125,940 km"
2014 Mercedes-Benz C-Class 4dr Sdn C300 4MATIC,"$17,250","Mileage 80,000 km"
2012 Mercedes-Benz C-Class 4dr Sdn C250 4MATIC,"$17,000","Mileage 72,000 km"
2011 Saab 9-5 4dr Sdn Manual Turbo4 FWD,"$17,000","Mileage 201,600 km"
2014 Cadillac CTS 4dr Sdn 2.0L Turbo RWD,"$17,000","Mileage 88,000 km"
2016 Dodge Charger 4dr Sdn SXT RWD,"$17,000","Mileage 87,000 km"
2016 Hyundai Elantra 4dr Sdn Man GL,"$17,000","Mileage 30,000 km"
2011 Audi S4 4dr Sdn Man Premium,"$17,000","Mileage 174,000 km"
2017 Ford Fusion 4dr Sdn SE FWD,"$17,000","Mileage 36,000 km"
2013 Lexus ES 350 4dr Sdn,"$17,000","Mileage 115,000 km"
